"","19012023_aei_genes_region_cruk.fst","19012023_ase_genes_region_cruk.fst","19012023_ase_genes_tumour_cruk.fst","19012023_cohort_ASE_CN_ratio_cruk.fst","19012023_cohort_ASE_CN_specific_cruk.fst","19012023_cohort_ASE_SNP_ratio_cruk.fst","19012023_rna_purity_cruk.fst","20200401_pancan_drivers.csv","2022-10-14_clinicohistopathological_data.fst","2022-10-14_rna_editing_sigs.fst","2022-10-14_rna_editing_table.fst","2022-10-17_inter_intra_exp.csv","2022-10-17_rsem_counts_mat.fst","2022-10-17_rsem_eff_length_mat.fst","2022-10-17_rsem_tpm_mat.fst","2022-10-18_dcor_mat.fst","2022-10-18_region_hi_var_pc_hist.fst","2022-10-18_vst_counts.fst","2022-10-18_vst_counts_surgery.fst","2022-10-18_vst_counts_tumour.fst","2022-10-18all_metadata.fst","2022-10-20_signatureExposures_signif.fst","2022-10-21_ited_primaries.fst","2022-10-30_RAS_classes_df.fst","2022-10-30ki67_scores.fst","2022-11-14_pc_lmes.fst","20221109_TRACERx421_all_patient_df.rds","20221109_TRACERx421_all_tumour_df.rds","20221109_TRACERx421_manual_qc_sheet.tsv","20221109_TRACERx421_mutation_table.fst","20221110_TRACERx421_evolutionary_metrics.tsv","20221123_TRACERx421_mutation_table_region.fst","26102022_FAT1_details.RDS","26102022_FAT1_example_cruk.RDS","26102022_meth_global_cruk.fst","all_sig_vars_nb.fst","dnds_quantiles","exp_global_dnds.csv","forest_shap.tsv","Genomic_only_MLP_model.zip","Genomic_only_roc_curve.csv","GenTran_logi_test_output.csv","GenTran_logistic.joblib","GenTran_MLP_model","GenTran_random_forest.joblib","GenTran_roc_curve.csv","gtex_supp_2015.xlsx","h.all.v7.2.symbols.gmt","hallmark_groups.csv","inter_global_dnds.csv","intra_global_dnds.csv","logistic_shap.tsv","luad_outliers_cruk.csv","mlp_shap.tsv","raw_rna_editing_sigs.txt","region_cors_blind.csv","sampleOverview.txt","seedingRegionInfo.txt","setd2_cell_lines_cnindase.fst","Transcriptomic_only_roc_curve.csv"
"851",NA,NA,NA,"CRUK0810_SU_T1-R6","CRUK0810_SU_T1-R6","CRUK0738_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0640_SU_T1-R5","CRUK0640_SU_T1-R5","CRUK0640_SU_T1-R5","CRUK0644_SU_T1-R3",NA,"CRUK0640_SU_T1-R6","CRUK0745_SU_LN01","CRUK0710_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"852",NA,NA,NA,"CRUK0810_SU_T1-R7","CRUK0810_SU_T1-R7","CRUK0738_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0640_SU_T1-R6","CRUK0640_SU_T1-R6","CRUK0640_SU_T1-R6","CRUK0644_SU_T1-R4",NA,"CRUK0643_SU_N01","CRUK0745_SU_LN02","CRUK0710_SU_T1-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"853",NA,NA,NA,"CRUK0810_SU_T1-R8","CRUK0810_SU_T1-R8","CRUK0733_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0643_SU_N01","CRUK0643_SU_N01","CRUK0643_SU_N01","CRUK0649_SU_T1-R1",NA,"CRUK0644_SU_N01","CRUK0745_SU_T1-R2","CRUK0714_BR_LN01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"854",NA,NA,NA,"CRUK0029_SU_LN07","CRUK0029_SU_LN07","CRUK0733_SU_T1-R6",NA,NA,NA,NA,NA,NA,"CRUK0644_SU_N01","CRUK0644_SU_N01","CRUK0644_SU_N01","CRUK0649_SU_T1-R2",NA,"CRUK0644_SU_T1-R1","CRUK0745_SU_T1-R4","CRUK0714_SU_T1-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"855",NA,NA,NA,"CRUK0013_SU_LN01","CRUK0013_SU_LN01","CRUK0722_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0644_SU_T1-R1","CRUK0644_SU_T1-R1","CRUK0644_SU_T1-R1","CRUK0650_SU_T1-R1",NA,"CRUK0644_SU_T1-R2","CRUK0748_SU_LN02","CRUK0714_SU_T1-R4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"856",NA,NA,NA,"CRUK0013_SU_LN02","CRUK0013_SU_LN02","CRUK0771_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0644_SU_T1-R2","CRUK0644_SU_T1-R2","CRUK0644_SU_T1-R2","CRUK0650_SU_T1-R2",NA,"CRUK0644_SU_T1-R3","CRUK0748_SU_T1-R2","CRUK0714_SU_T1-R5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"857",NA,NA,NA,"CRUK0290_SU_LN01","CRUK0290_SU_LN01","CRUK0771_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0644_SU_T1-R3","CRUK0644_SU_T1-R3","CRUK0644_SU_T1-R3","CRUK0666_SU_N01",NA,"CRUK0644_SU_T1-R4","CRUK0748_SU_T1-R3","CRUK0714_SU_T1-R6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"858",NA,NA,NA,"CRUK0245_SU_LN01","CRUK0245_SU_LN01","CRUK0771_SU_T1-R4",NA,NA,NA,NA,NA,NA,"CRUK0644_SU_T1-R4","CRUK0644_SU_T1-R4","CRUK0644_SU_T1-R4","CRUK0666_SU_T1-R1",NA,"CRUK0649_SU_T1-R1","CRUK0748_SU_T1-R4","CRUK0714_SU_T1-R7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"859",NA,NA,NA,"CRUK0256_SU_LN01","CRUK0256_SU_LN01","CRUK0719_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0649_SU_T1-R1","CRUK0649_SU_T1-R1","CRUK0649_SU_T1-R1","CRUK0666_SU_T1-R2",NA,"CRUK0649_SU_T1-R2","CRUK0748_SU_T1-R6","CRUK0717_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"860",NA,NA,NA,"CRUK0240_SU_LN01","CRUK0240_SU_LN01","CRUK0718_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0649_SU_T1-R2","CRUK0649_SU_T1-R2","CRUK0649_SU_T1-R2","CRUK0666_SU_T1-R3",NA,"CRUK0650_SU_T1-R1","CRUK0749_SU_T1-R2","CRUK0717_SU_T1-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
