"","19012023_aei_genes_region_cruk.fst","19012023_ase_genes_region_cruk.fst","19012023_ase_genes_tumour_cruk.fst","19012023_cohort_ASE_CN_ratio_cruk.fst","19012023_cohort_ASE_CN_specific_cruk.fst","19012023_cohort_ASE_SNP_ratio_cruk.fst","19012023_rna_purity_cruk.fst","20200401_pancan_drivers.csv","2022-10-14_clinicohistopathological_data.fst","2022-10-14_rna_editing_sigs.fst","2022-10-14_rna_editing_table.fst","2022-10-17_inter_intra_exp.csv","2022-10-17_rsem_counts_mat.fst","2022-10-17_rsem_eff_length_mat.fst","2022-10-17_rsem_tpm_mat.fst","2022-10-18_dcor_mat.fst","2022-10-18_region_hi_var_pc_hist.fst","2022-10-18_vst_counts.fst","2022-10-18_vst_counts_surgery.fst","2022-10-18_vst_counts_tumour.fst","2022-10-18all_metadata.fst","2022-10-20_signatureExposures_signif.fst","2022-10-21_ited_primaries.fst","2022-10-30_RAS_classes_df.fst","2022-10-30ki67_scores.fst","2022-11-14_pc_lmes.fst","20221109_TRACERx421_all_patient_df.rds","20221109_TRACERx421_all_tumour_df.rds","20221109_TRACERx421_manual_qc_sheet.tsv","20221109_TRACERx421_mutation_table.fst","20221110_TRACERx421_evolutionary_metrics.tsv","20221123_TRACERx421_mutation_table_region.fst","26102022_FAT1_details.RDS","26102022_FAT1_example_cruk.RDS","26102022_meth_global_cruk.fst","all_sig_vars_nb.fst","dnds_quantiles","exp_global_dnds.csv","forest_shap.tsv","Genomic_only_MLP_model.zip","Genomic_only_roc_curve.csv","GenTran_logi_test_output.csv","GenTran_logistic.joblib","GenTran_MLP_model","GenTran_random_forest.joblib","GenTran_roc_curve.csv","gtex_supp_2015.xlsx","h.all.v7.2.symbols.gmt","hallmark_groups.csv","inter_global_dnds.csv","intra_global_dnds.csv","logistic_shap.tsv","luad_outliers_cruk.csv","mlp_shap.tsv","raw_rna_editing_sigs.txt","region_cors_blind.csv","sampleOverview.txt","seedingRegionInfo.txt","setd2_cell_lines_cnindase.fst","Transcriptomic_only_roc_curve.csv"
"1","sample_type","sample_type","tumour_cluster_ID","geneSymbol","geneSymbol","geneSymbol","sample_type","gene","sample_name_cruk","region","rna_ids","gene_id","gene_id","gene_id","gene_id","dist_from","region","CRUK0001_SU_T1-R1","CRUK0001_SU_T1-R1","CRUK0001_SU_T1-R1","region","N1","region","class_ras84","patient","pc_id","cruk_id","tumour_id_muttable_cruk","Patient","mutation_id","tumour_id","tumour_id","geneSymbol","regionID","CRUKID","pc_id",NA,"gene_type","col_name","col_name","0","clonal_tmb","clonal_tmb",NA,"clonal_tmb","0","Study","Study","hallmark","gene_type","gene_type","col_name","patient","col_name","col_name","gene_id","gene_id","gene_id","SETD2","0"
"2","genes_AEI","genes_ASE","genes_ASE_all_regs","start","start","start","delta_purity","is_cgc_driver","tumour_id_muttable_cruk","signature","samples","sd_inter","CRUK0001_SU_T1-R1","CRUK0001_SU_T1-R1","CRUK0001_SU_T1-R1","CRUK0001_SU_T1-R1","pc_id","CRUK0001_SU_T1-R3","CRUK0001_SU_T1-R3","CRUK0001_SU_T1-R3","tumour_id","N2","tumour_id","class_ras55","KI67_score","r_marg","tumour_id_muttable_cruk","cruk_id","Sample","patient_id","clonal_mixing_index","RegionID","start","type","Sample","histology",NA,"name","feature_importance_vals","feature_importance_vals","1","prop_subclonal","prop_subclonal",NA,"prop_subclonal","1","N","N","group","name","name","feature_importance_vals",NA,"feature_importance_vals","feature_importance_vals","rna_sig","rna_sig","rna_sig","cell_line","1"
"3","genes_not_AEI","genes_not_ASE","genes_not_ASE_all_regs","end","end","end","rna_purity","is_bailey_et_al_2018_driver","cruk_id","weight","all_var_count","intra_sd","CRUK0001_SU_T1-R3","CRUK0001_SU_T1-R3","CRUK0001_SU_T1-R3","CRUK0001_SU_T1-R3","pc_val","CRUK0003_SU_N01","CRUK0003_SU_T1-R1","CRUK0003_SU_T1-R1","Histology","N3","ited","sample_id","tumour_id","r_cond","tumour_id_per_patient","clinical_sex","DateAdded","tumour_id","clonal_mixing_index_bootstrapped","mutation_id","end","snp","ratio_hyper","variable_type",NA,"mle",NA,NA,"2","nb_clonal_drivers","nb_clonal_drivers",NA,"nb_clonal_drivers","2","Tissue","Tissue",NA,"mle","mle",NA,NA,NA,NA,"r_marg","r_marg","r_marg","genes_ASE","2"
"4","regionID_cruk","regionID_cruk","Clonal_ASE","chr","chr","chr","regionID_cruk","is_lung_driver","Is.primary.tumour.Tx421",NA,"all_vaf","median_vst","CRUK0003_SU_N01","CRUK0003_SU_N01","CRUK0003_SU_N01","CRUK0003_SU_N01","prop_variance","CRUK0003_SU_T1-R1","CRUK0003_SU_T1-R2","CRUK0003_SU_T1-R2","patient","N4",NA,NA,NA,"pval","age","age","Release","chr","num_branches","var_count","chr","variable",NA,"sig_vars",NA,"cilow",NA,NA,NA,"nb_subclonal_drivers","nb_subclonal_drivers",NA,"nb_subclonal_drivers",NA,"Abbreviation","Abbreviation",NA,"cilow","cilow",NA,NA,NA,NA,"r_cond","r_cond","r_cond","genes_no_ASE",NA
"5","patient_cruk","patient_cruk","Subclonal_ASE","CRUK0034_SU_T1-R2","CRUK0034_SU_T1-R2","CRUK0034_SU_T1-R2","patient_cruk","is_expressed_tx421","Histology_per_tumour_id_muttable",NA,"all_cov","symbol","CRUK0003_SU_T1-R1","CRUK0003_SU_T1-R1","CRUK0003_SU_T1-R1","CRUK0003_SU_T1-R1","Histology","CRUK0003_SU_T1-R2","CRUK0003_SU_T1-R3","CRUK0003_SU_T1-R3","luad_subtype","N5",NA,NA,NA,"assoc","sex","ethnicity","Manual_ASCAT_exists","start","polyclonal","depth",NA,"value",NA,"seed",NA,"cihigh",NA,NA,NA,"prop_exp_muts","prop_exp_muts",NA,"prop_exp_muts",NA,"Approximate clonality proportion","Approximate clonality proportion",NA,"cihigh","cihigh",NA,NA,NA,NA,"pval","pval","pval","prop_ASE",NA
"6",NA,NA,"No_ASE","CRUK0034_SU_T1-R3","CRUK0034_SU_T1-R3","CRUK0034_SU_T1-R3",NA,NA,"Histology_per_region",NA,"nb_tumour_samples","func_type","CRUK0003_SU_T1-R2","CRUK0003_SU_T1-R2","CRUK0003_SU_T1-R2","CRUK0003_SU_T1-R2",NA,"CRUK0003_SU_T1-R3","CRUK0003_SU_T1-R4","CRUK0003_SU_T1-R4","stage","N6",NA,NA,NA,"variable","ethnicity","Histology_per_tumour_id_muttable","ASCAT_psi","stop","polyphyletic","Is.present.region",NA,"ASE",NA,NA,NA,"nb_muts",NA,NA,NA,"prop_ase","prop_ase",NA,"prop_ase",NA,"Genetic data","Genetic data",NA,"nb_muts","nb_muts",NA,NA,NA,NA,"pea_r","pea_r","pea_r","factor",NA
"7",NA,NA,"Clonal_CN_ASE","CRUK0150_SU_T1-R1","CRUK0150_SU_T1-R1","CRUK0150_SU_T1-R1",NA,NA,"LUAD_regional_pattern_with.IMA",NA,"present_all_tumour","dndscv_present","CRUK0003_SU_T1-R3","CRUK0003_SU_T1-R3","CRUK0003_SU_T1-R3","CRUK0003_SU_T1-R3",NA,"CRUK0003_SU_T1-R4","CRUK0003_SU_T1-R6","CRUK0003_SU_T1-R6","timing","patient",NA,NA,NA,"histology","cigs_perday","histology_3","VAF.purity","ref","branching_index","CCF_pyclone_SC",NA,"statistic",NA,NA,NA,"nb_genes",NA,NA,NA,"num_gds","num_gds",NA,"num_gds",NA,"Mapped RNAseq reads (M)","Mapped RNAseq reads (M)",NA,"nb_genes","nb_genes",NA,NA,NA,NA,"padj","padj","padj","rep",NA
"8",NA,NA,"Subclonal_CN_ASE","CRUK0150_SU_T1-R2","CRUK0150_SU_T1-R2","CRUK0150_SU_T1-R2",NA,NA,"LUAD_pred_subtype_with.IMA_per_tumour",NA,"normal_sample",NA,"CRUK0003_SU_T1-R4","CRUK0003_SU_T1-R4","CRUK0003_SU_T1-R4","CRUK0003_SU_T1-R4",NA,"CRUK0003_SU_T1-R6","CRUK0004_SU_T1-R1","CRUK0004_BP_LN01",NA,NA,NA,NA,NA,NA,"years_smoking","LUAD_pred_subtype_with.IMA_per_tumour","ASCAT.purity","var","perc_subclonal","CCF_phylo_SC",NA,"LowerCI",NA,NA,NA,"group",NA,NA,NA,"SBS1","SBS1",NA,"SBS1",NA,"Reference","Reference",NA,"group","group",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,"No_CN_ASE","CRUK0150_SU_T1-R4","CRUK0150_SU_T1-R4","CRUK0150_SU_T1-R4",NA,NA,"smoking_status_merged",NA,"lymph_node_sample",NA,"CRUK0003_SU_T1-R6","CRUK0003_SU_T1-R6","CRUK0003_SU_T1-R6","CRUK0003_SU_T1-R6",NA,"CRUK0004_BP_LN01","CRUK0004_SU_T1-R2","CRUK0004_SU_T1-R1",NA,NA,NA,NA,NA,NA,"packyears","site_per_lesion","VAFQC.CNproblem","Hugo_Symbol","perc_subclonal_wr","mut_cpn_SC",NA,"UpperCI",NA,NA,NA,NA,NA,NA,NA,"SBS4","SBS4",NA,"SBS4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,"prop_subclonal_ase","CRUK0150_SU_T1-R5","CRUK0150_SU_T1-R5","CRUK0150_SU_T1-R5",NA,NA,"pathologyTNM",NA,"present_normal",NA,"CRUK0004_BP_LN01","CRUK0004_BP_LN01","CRUK0004_BP_LN01","CRUK0004_BP_LN01",NA,"CRUK0004_SU_N01","CRUK0004_SU_T1-R3","CRUK0004_SU_T1-R2",NA,NA,NA,NA,NA,NA,"smoking_status_merged","pT_stage_per_lesion","prevIgnoreVafQC","func","perc_subclonal_br","MajorCPN_SC",NA,"Allele",NA,NA,NA,NA,NA,NA,NA,"SBS92","SBS92",NA,"SBS92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,"CRUK0150_SU_T1-R8","CRUK0150_SU_T1-R8","CRUK0150_SU_T1-R8",NA,NA,NA,NA,"present_any_ln",NA,"CRUK0004_SU_N01","CRUK0004_SU_N01","CRUK0004_SU_N01","CRUK0004_SU_N01",NA,"CRUK0004_SU_T1-R1","CRUK0004_SU_T1-R4","CRUK0004_SU_T1-R3",NA,NA,NA,NA,NA,NA,"is.family.lung","pN_stage_per_lesion","ManualCall","exonic.func","WGD_timing","MinorCPN_SC",NA,"purity",NA,NA,NA,NA,NA,NA,NA,"SBS_APOBEC","SBS_APOBEC",NA,"SBS_APOBEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,"CRUK0090_SU_T1-R1","CRUK0090_SU_T1-R1","CRUK0090_SU_T1-R1",NA,NA,NA,NA,"strand",NA,"CRUK0004_SU_T1-R1","CRUK0004_SU_T1-R1","CRUK0004_SU_T1-R1","CRUK0004_SU_T1-R1",NA,"CRUK0004_SU_T1-R2","CRUK0005_SU_T1-R2","CRUK0004_SU_T1-R4",NA,NA,NA,NA,NA,NA,"ECOG_PS","size_pathology_per_lesion","PURITY","NucleotideChange","TMB","PyCloneCluster_SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RNA_SBS1","RNA_SBS1",NA,"RNA_SBS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,"CRUK0090_SU_T1-R2","CRUK0090_SU_T1-R2","CRUK0090_SU_T1-R2",NA,NA,NA,NA,"muttype",NA,"CRUK0004_SU_T1-R2","CRUK0004_SU_T1-R2","CRUK0004_SU_T1-R2","CRUK0004_SU_T1-R2",NA,"CRUK0004_SU_T1-R3","CRUK0005_SU_T1-R3","CRUK0005_SU_T1-R2",NA,NA,NA,NA,NA,NA,"pathologyTNM","vascular_invasion_per_lesion","Action","AAChange","num_subclones","PyCloneClonal_SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RNA_SBS2","RNA_SBS2",NA,"RNA_SBS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,"CRUK0045_SU_T1-R1","CRUK0045_SU_T1-R1","CRUK0045_SU_T1-R1",NA,NA,NA,NA,"muttype_nostrand",NA,"CRUK0004_SU_T1-R3","CRUK0004_SU_T1-R3","CRUK0004_SU_T1-R3","CRUK0004_SU_T1-R3",NA,"CRUK0004_SU_T1-R4","CRUK0005_SU_T1-R4","CRUK0005_SU_T1-R3",NA,NA,NA,NA,NA,NA,"pT_stage_per_patient","pleural_invasion_per_lesion","Adjust_ASCAT.ploidy","GL_VAF","median_muts_per_subclone","cleanCluster_SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZIN1_edit","AZIN1_edit",NA,"AZIN1_edit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,"CRUK0076_SU_T1-R1","CRUK0076_SU_T1-R1","CRUK0045_SU_T1-R2",NA,NA,NA,NA,"PASS_present",NA,"CRUK0004_SU_T1-R4","CRUK0004_SU_T1-R4","CRUK0004_SU_T1-R4","CRUK0004_SU_T1-R4",NA,"CRUK0005_SU_T1-R2","CRUK0006_SU_T1-R1","CRUK0005_SU_T1-R4",NA,NA,NA,NA,NA,NA,"pN_stage_per_patient","smoking_status_merged","Adjust_ASCAT.purity","GL_nAlt","subclone_mutation_evenness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN70","CIN70",NA,"CIN70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,"CRUK0076_SU_T1-R2","CRUK0076_SU_T1-R2","CRUK0076_SU_T1-R1",NA,NA,NA,NA,"var_pos",NA,"CRUK0005_SU_T1-R2","CRUK0005_SU_T1-R2","CRUK0005_SU_T1-R2","CRUK0005_SU_T1-R2",NA,"CRUK0005_SU_T1-R3","CRUK0006_SU_T1-R2","CRUK0006_SU_T1-R1",NA,NA,NA,NA,NA,NA,"LVI_per_patient","cigs_perday","Adjust_ASCAT.penalty","GL_depth","num_clonal_drivers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oracle","Oracle",NA,"Oracle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,"CRUK0076_SU_T1-R3","CRUK0076_SU_T1-R3","CRUK0076_SU_T1-R2",NA,NA,NA,NA,"redi_present",NA,"CRUK0005_SU_T1-R3","CRUK0005_SU_T1-R3","CRUK0005_SU_T1-R3","CRUK0005_SU_T1-R3",NA,"CRUK0005_SU_T1-R4","CRUK0008_SU_T1-R1","CRUK0006_SU_T1-R2",NA,NA,NA,NA,NA,NA,"PL_per_patient","years_smoking","Adjust_ASCAT.smoothing","ITHState","num_subclonal_drivers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marjanovic_plasticity","Marjanovic_plasticity",NA,"Marjanovic_plasticity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,"CRUK0076_SU_T1-R4","CRUK0076_SU_T1-R4","CRUK0076_SU_T1-R3",NA,NA,NA,NA,"PASS_uniq_sample",NA,"CRUK0005_SU_T1-R4","CRUK0005_SU_T1-R4","CRUK0005_SU_T1-R4","CRUK0005_SU_T1-R4",NA,"CRUK0006_SU_T1-R1","CRUK0008_SU_T1-R2","CRUK0008_SU_T1-R1",NA,NA,NA,NA,NA,NA,"margin_status_per_patient","pack_years","Artefact","RegionSum","num_branches_bootstrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"danaher_b_cells","danaher_b_cells",NA,"danaher_b_cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,"CRUK0063_SU_T1-R4","CRUK0063_SU_T1-R4","CRUK0076_SU_T1-R4",NA,NA,NA,NA,"patient_region",NA,"CRUK0006_SU_T1-R1","CRUK0006_SU_T1-R1","CRUK0006_SU_T1-R1","CRUK0006_SU_T1-R1",NA,"CRUK0006_SU_T1-R2","CRUK0009_SU_T1-R1","CRUK0008_SU_T1-R2",NA,NA,NA,NA,NA,NA,"size_pathology_per_patient","is.family.lung","Comments","Is.present","polyclonal_bootstrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"danaher_cd4_cells","danaher_cd4_cells",NA,"danaher_cd4_cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,"CRUK0063_SU_T1-R5","CRUK0063_SU_T1-R5","CRUK0063_SU_T1-R4",NA,NA,NA,NA,"flank",NA,"CRUK0006_SU_T1-R2","CRUK0006_SU_T1-R2","CRUK0006_SU_T1-R2","CRUK0006_SU_T1-R2",NA,"CRUK0008_SU_T1-R1","CRUK0009_SU_T1-R4","CRUK0009_SU_T1-R1",NA,NA,NA,NA,NA,NA,"Surgery_type","pathologyTNM",NA,"PyCloneClonal_SC","polyphyletic_bootstrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"danaher_mast_cells","danaher_mast_cells",NA,"danaher_mast_cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,"CRUK0005_SU_T1-R2","CRUK0005_SU_T1-R2","CRUK0063_SU_T1-R5",NA,NA,NA,NA,"flank_nostrand",NA,"CRUK0008_SU_T1-R1","CRUK0008_SU_T1-R1","CRUK0008_SU_T1-R1","CRUK0008_SU_T1-R1",NA,"CRUK0008_SU_T1-R2","CRUK0010_SU_T1-R1","CRUK0009_SU_T1-R4",NA,NA,NA,NA,NA,NA,"histology_lesion1",NA,NA,"PyCloneCluster_SC","branching_index_bootstrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"danaher_nk_cells","danaher_nk_cells",NA,"danaher_nk_cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,"CRUK0005_SU_T1-R3","CRUK0005_SU_T1-R3","CRUK0005_SU_T1-R2",NA,NA,NA,NA,"PASS_homo_nt",NA,"CRUK0008_SU_T1-R2","CRUK0008_SU_T1-R2","CRUK0008_SU_T1-R2","CRUK0008_SU_T1-R2",NA,"CRUK0009_SU_T1-R1","CRUK0011_SU_T1-R1","CRUK0010_SU_T1-R1",NA,NA,NA,NA,NA,NA,"histology_lesion1_merged",NA,NA,"cleanCluster_SC","perc_subclonal_bootstrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"danaher_th1_cells","danaher_th1_cells",NA,"danaher_th1_cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,"CRUK0005_SU_T1-R4","CRUK0005_SU_T1-R4","CRUK0005_SU_T1-R3",NA,NA,NA,NA,"symbol",NA,"CRUK0009_SU_T1-R1","CRUK0009_SU_T1-R1","CRUK0009_SU_T1-R1","CRUK0009_SU_T1-R1",NA,"CRUK0009_SU_T1-R4","CRUK0011_SU_T1-R2","CRUK0011_SU_T1-R1",NA,NA,NA,NA,NA,NA,"lesion1_sampled",NA,NA,"PyCloneClonal_SC_TB_corrected","WGD_timing_bootstrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clone_dominance_ccf","clone_dominance_ccf",NA,"clone_dominance_ccf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,"CRUK0081_SU_T1-R5","CRUK0081_SU_T1-R5","CRUK0005_SU_T1-R4",NA,NA,NA,NA,NA,NA,"CRUK0009_SU_T1-R4","CRUK0009_SU_T1-R4","CRUK0009_SU_T1-R4","CRUK0009_SU_T1-R4",NA,"CRUK0010_SU_T1-R1","CRUK0011_SU_T1-R3","CRUK0011_SU_T1-R2",NA,NA,NA,NA,NA,NA,"histology_lesion2",NA,NA,"PyCloneCluster_SC_TB_corrected","TMB_bootstrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ited","ited",NA,"ited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,"CRUK0085_SU_T1-R1","CRUK0085_SU_T1-R1","CRUK0081_SU_T1-R5",NA,NA,NA,NA,NA,NA,"CRUK0010_SU_T1-R1","CRUK0010_SU_T1-R1","CRUK0010_SU_T1-R1","CRUK0010_SU_T1-R1",NA,"CRUK0011_SU_T1-R1","CRUK0012_SU_T1-R2","CRUK0011_SU_T1-R3",NA,NA,NA,NA,NA,NA,"lesion2_sampled",NA,NA,"PhyloCCF_SC","num_subclones_bootstrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KMT2D_mut_True","KMT2D_mut_True",NA,"KMT2D_mut_True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,"CRUK0085_SU_T1-R2","CRUK0085_SU_T1-R2","CRUK0085_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0011_SU_T1-R1","CRUK0011_SU_T1-R1","CRUK0011_SU_T1-R1","CRUK0011_SU_T1-R1",NA,"CRUK0011_SU_T1-R2","CRUK0013_SU_LN01","CRUK0012_SU_T1-R2",NA,NA,NA,NA,NA,NA,"histology_multi_full",NA,NA,"combTiming_SC","median_muts_per_subclone_bootstrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KRAS_mut_True","KRAS_mut_True",NA,"KRAS_mut_True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,"CRUK0085_SU_T1-R3","CRUK0085_SU_T1-R3","CRUK0085_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0011_SU_T1-R2","CRUK0011_SU_T1-R2","CRUK0011_SU_T1-R2","CRUK0011_SU_T1-R2",NA,"CRUK0011_SU_T1-R3","CRUK0013_SU_LN02","CRUK0013_SU_LN01",NA,NA,NA,NA,NA,NA,"histology_multi_full_genomically.confirmed",NA,NA,"MutCPN_SC","subclone_mutation_evenness_bootstrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STK11_mut_True","STK11_mut_True",NA,"STK11_mut_True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,"CRUK0085_SU_T1-R4","CRUK0085_SU_T1-R4","CRUK0085_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0011_SU_T1-R3","CRUK0011_SU_T1-R3","CRUK0011_SU_T1-R3","CRUK0011_SU_T1-R3",NA,"CRUK0012_SU_T1-R2","CRUK0013_SU_T1-R1","CRUK0013_SU_LN02",NA,NA,NA,NA,NA,NA,"LUAD_pred_subtype",NA,NA,"MajorCPN_SC","num_clonal_drivers_bootstrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TP53_mut_True","TP53_mut_True",NA,"TP53_mut_True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,"CRUK0071_SU_T1-R1","CRUK0071_SU_T1-R1","CRUK0085_SU_T1-R4",NA,NA,NA,NA,NA,NA,"CRUK0012_SU_T1-R2","CRUK0012_SU_T1-R2","CRUK0012_SU_T1-R2","CRUK0012_SU_T1-R2",NA,"CRUK0013_SU_LN01","CRUK0013_SU_T1-R2","CRUK0013_SU_T1-R1",NA,NA,NA,NA,NA,NA,"adjuvant_treatment_YN",NA,NA,"MinorCPN_SC","num_subclonal_drivers_bootstrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CSNK2A3_ase_TRUE","CSNK2A3_ase_TRUE",NA,"CSNK2A3_ase_TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,"CRUK0071_SU_T1-R2","CRUK0071_SU_T1-R2","CRUK0071_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0013_SU_LN01","CRUK0013_SU_LN01","CRUK0013_SU_LN01","CRUK0013_SU_LN01",NA,"CRUK0013_SU_LN02","CRUK0013_SU_T1-R3","CRUK0013_SU_T1-R2",NA,NA,NA,NA,NA,NA,"adjuvant_treatment_given",NA,NA,"DriverMut","wGII",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CSNK2A3_ase_Unknown","CSNK2A3_ase_Unknown",NA,"CSNK2A3_ase_Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,"CRUK0071_SU_T1-R3","CRUK0071_SU_T1-R3","CRUK0071_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0013_SU_LN02","CRUK0013_SU_LN02","CRUK0013_SU_LN02","CRUK0013_SU_LN02",NA,"CRUK0013_SU_T1-R1","CRUK0014_SU_T1-R1","CRUK0013_SU_T1-R3",NA,NA,NA,NA,NA,NA,"num_cycle_na.added",NA,NA,NA,"wFLOH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DNAH11_ase_TRUE","DNAH11_ase_TRUE",NA,"DNAH11_ase_TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,"CRUK0071_SU_T1-R6","CRUK0071_SU_T1-R6","CRUK0071_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0013_SU_T1-R1","CRUK0013_SU_T1-R1","CRUK0013_SU_T1-R1","CRUK0013_SU_T1-R1",NA,"CRUK0013_SU_T1-R2","CRUK0016_SU_T1-R1","CRUK0014_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CHMPlatDgName_cleaned",NA,NA,NA,"ploidy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DNAH11_ase_Unknown","DNAH11_ase_Unknown",NA,"DNAH11_ase_Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,"CRUK0071_SU_T1-R7","CRUK0071_SU_T1-R7","CRUK0071_SU_T1-R6",NA,NA,NA,NA,NA,NA,"CRUK0013_SU_T1-R2","CRUK0013_SU_T1-R2","CRUK0013_SU_T1-R2","CRUK0013_SU_T1-R2",NA,"CRUK0013_SU_T1-R3","CRUK0016_SU_T1-R2","CRUK0016_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CHMOthDgName_cleaned",NA,NA,NA,"purity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOCK1_ase_Unknown","DOCK1_ase_Unknown",NA,"DOCK1_ase_Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,"CRUK0028_SU_T1-R1","CRUK0028_SU_T1-R1","CRUK0071_SU_T1-R7",NA,NA,NA,NA,NA,NA,"CRUK0013_SU_T1-R3","CRUK0013_SU_T1-R3","CRUK0013_SU_T1-R3","CRUK0013_SU_T1-R3",NA,"CRUK0014_SU_T1-R1","CRUK0017_SU_T1-R1","CRUK0016_SU_T1-R2",NA,NA,NA,NA,NA,NA,"AdjRadStartTime_manual",NA,NA,NA,"ploidy_sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GALNT18_ase_TRUE","GALNT18_ase_TRUE",NA,"GALNT18_ase_TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
